player_a,player_b,elo_points_a,elo_points_b,h2h_wins_a,h2h_wins_b,last5_winrate_a,last5_winrate_b,surface_winrate_a,surface_winrate_b,winrate_a,winrate_b,result
Andrey Rublev,Flavio Cobolli,1884,1779,0,0,"0,8","0,8","0,59","0,65","0,56","0,55",0
Tommy Paul,Elmer Moller,2009,1708,0,0,"0,8","0,6","0,72","0,69","0,71","0,65",1
Kamil Majchrzak,Hamad Medjedovic,1769,1789,1,1,"0,4","0,4","0,74","0,55","0,7","0,65",0
Mariano Navone,Brandon Nakashima,1740,1816,0,1,"0,4","0,4","0,52","0,47","0,39","0,57",1
Pablo Carreno Busta,Francisco Comesana,1745,1735,0,0,"0,2","0,4","0,4","0,59","0,54","0,58",1
Giovanni Mpetshi Perricard,Zizou Bergs,1805,1814,1,0,"0,8","0,4","0,45","0,5","0,55","0,6",1
Rinky Hijikata,Reilly Opelka,1681,1778,0,1,"0,6","0,4","0,33","0,44","0,53","0,51",0
Alex Michelsen,Juan Manuel Cerundolo,1846,1658,0,0,"0,55","0,4","0,61","0,69","0,53","0,66",0
Thiago Agustin Tirante,Damir Dzumhur,1583,1689,1,1,"0,4","0,2","0,52","0,67","0,56","0,59",0
Vit Kopriva,Thiago Monteiro,1753,1618,0,0,"0,8",0,"0,67","0,58","0,68","0,51",1
Frances Tiafoe,Roman Safiullin,1839,1780,0,1,"0,4","0,4","0,53","0,45","0,56","0,55",1
Lorenzo Musetti,Yannick Hanfmann,2026,1632,1,2,"0,8","0,2","0,8","0,37","0,71","0,42",1
Ben Shelton,Lorenzo Sonego,1903,1756,2,1,"0,4","0,2","0,58","0,4","0,61","0,48",1
Valentin Royer,Daniel Elahi Galan,1656,1610,0,0,"0,6","0,2","0,72","0,59","0,53","0,57",0
Hugo Gaston,Ugo Blanchet,1662,1528,0,0,"0,2","0,2","0,5","0,45","0,48","0,45",1
Luciano Darderi,Sebastian Korda,1747,1872,0,0,"0,4","0,4","0,64","0,5","0,48","0,63",0
Sebastian Baez,Miomir Kecmanovic,1736,1793,0,2,0,"0,4","0,62","0,42","0,45","0,49",0
Taylor Fritz,Daniel Altmaier,2003,1732,0,0,"0,4","0,6","0,62","0,6","0,69","0,53",0
Ugo Humbert,Christopher Oconnell,1897,1748,0,1,"0,2","0,2","0,22","0,33","0,57","0,53",1
Aleksandar Kovacevic,Federico Agustin Gomez,1674,1431,1,0,"0,4",0,"0,36","0,68","0,49","0,59",0
Dusan Lajovic,Alexander Shevchenko,1711,1633,0,0,"0,6","0,6","0,55","0,42","0,43","0,36",0
Alex De Minaur,Laslo Djere,1994,1813,3,0,"0,6","0,6","0,72","0,71","0,7","0,63",1
Daniil Medvedev,Cameron Norrie,2002,1810,4,0,"0,6","0,8","0,69","0,6","0,63","0,52",0
Alexander Bublik,James Duckworth,1815,1618,1,0,"0,8","0,8","0,63","0,6","0,46","0,54",1
Learner Tien,Alexander Zverev,1749,2057,1,0,"0,2","0,6","0,33","0,75","0,76","0,75",0
Grigor Dimitrov,Ethan Quinn,1975,1738,0,0,"0,4","0,4","0,69","0,55","0,65","0,6",
Jesper De Jong,Francesco Passaro,1697,1709,1,0,"0,6","0,6","0,68","0,68","0,64","0,63",
Jakub Mensik,Alexandre Muller,1949,1793,1,0,"0,6","0,6","0,64","0,61","0,61","0,55",0
Andrey Rublev,Lloyd Harris,1892,1649,2,0,"0,8",0,"0,56","0,2","0,55","0,56",
